Notation 1	Name
<http://uricorn.fly/tib_lok_sys#jur-495>	Notarrecht / Notariat
<http://uricorn.fly/tib_lok_sys#jur-606.3>	Juristische Personen. Sitz / Juristische Personen. Organ
<http://uricorn.fly/tib_lok_sys#jur-437.8>	Betriebsvereinbarungsrecht / Betriebliche Übung
<http://uricorn.fly/tib_lok_sys#jur-181-199>	Allgemeines Verwaltungsrecht
<http://uricorn.fly/tib_lok_sys#jur-291.8>	Rundfunk / Fernsehen - Einzelfragen
<http://uricorn.fly/tib_lok_sys#jur-191.6>	Verwaltungsverfahrensrecht. Beteiligung
<http://uricorn.fly/tib_lok_sys#jur-32.1>	Ägypten
<http://uricorn.fly/tib_lok_sys#jur-315.3>	Steuerverwaltungsrecht. Verfahren
<http://uricorn.fly/tib_lok_sys#jur-501.4>	Zivilprozessrecht. Prozessdauer / Zivilprozessrecht. Prozessbeginn
<http://uricorn.fly/tib_lok_sys#jur-961.1>	Staatskirchenrecht - Grundfragen
<http://uricorn.fly/tib_lok_sys#jur-493>	Rechtsbeistände
<http://uricorn.fly/tib_lok_sys#jur-823.3>	Kreditgeschäfte / Kontokorrent /  Anleihen / Pfandbriefgeschäft
<http://uricorn.fly/tib_lok_sys#jur-216.2>	Kreise. Verfassungsrecht
<http://uricorn.fly/tib_lok_sys#jur-664-664.4>	Werkvertrag
<http://uricorn.fly/tib_lok_sys#jur-688.1>	Fahrniseigentum. Übertragung / Gutgläubiger Erwerb / Fahrniseigentum. Abhanden gekommene Sache
<http://uricorn.fly/tib_lok_sys#jur-292.9>	Telekommunikation
<http://uricorn.fly/tib_lok_sys#jur-802>	Offene Handelsgesellschaft
<http://uricorn.fly/tib_lok_sys#jur-374.3>	Lebensmittel. Kennzeichnung / Lebensmittel. Meldepflicht / Lebensmittel. Handelsklassen
<http://uricorn.fly/tib_lok_sys#jur-339>	Wirtschaftsprüfung / Wirtschaftstreuhänder
<http://uricorn.fly/tib_lok_sys#jur-614.3>	Vertragsfreiheit / Optionsvertrag  / Vertrag. Kontrahierungszwang / Vorrechtsvertrag / Dirigierter Vertrag / Hoheitlich gestalteter Vertrag
<http://uricorn.fly/tib_lok_sys#jur-968.8>	Evangelisches Kirchenrecht. Gerichtsbarkeit
<http://uricorn.fly/tib_lok_sys#jur-697>	Pfandrecht an beweglichen Sachen
<http://uricorn.fly/tib_lok_sys#jur-133.9>	Verfassungsgeschichte. Neuzeit - Einzelfragen
<http://uricorn.fly/tib_lok_sys#jur-552.2>	Freiwillige Gerichtsbarkeit. Betreuungs- und Unterbringungssachen
<http://uricorn.fly/tib_lok_sys#jur-998.62>	Somalia
<http://uricorn.fly/tib_lok_sys#jur-436>	Tarifrecht
<http://uricorn.fly/tib_lok_sys#jur-967-968>	Evangelisches Kirchenrecht
<http://uricorn.fly/tib_lok_sys#jur-186.2>	Enteignung / Aufopferung / Entschädigung
<http://uricorn.fly/tib_lok_sys#jur-607.7>	Vereinsregister / Vereinsregister. Eintragung
<http://uricorn.fly/tib_lok_sys#jur-859>	Schuld / Schuldstrafrecht
