<http://uri.gbv.de/terminology/bk/17.00>	Sprach- und Literaturwissenschaft: Allgemeines
<http://uri.gbv.de/terminology/bk/17.01>	Geschichte der Sprach- und Literaturwissenschaft
<http://uri.gbv.de/terminology/bk/17.03>	Theorie und Methoden der Sprach- und Literaturwissenschaft
<http://uri.gbv.de/terminology/bk/17.04>	Ausbildung, Beruf, Organisationen
<http://uri.gbv.de/terminology/bk/17.06>	Sprachwissenschaft: Allgemeines
<http://uri.gbv.de/terminology/bk/17.08>	Semiotik
<http://uri.gbv.de/terminology/bk/17.10>	Sprache in Beziehung zu anderen Bereichen der Wissenschaft und Kultur
<http://uri.gbv.de/terminology/bk/17.13>	Sprachtypologie
<http://uri.gbv.de/terminology/bk/17.14>	Vergleichende Sprachwissenschaft
<http://uri.gbv.de/terminology/bk/17.15>	Historische Linguistik
<http://uri.gbv.de/terminology/bk/17.16>	Etymologie
<http://uri.gbv.de/terminology/bk/17.18>	Dialektologie
<http://uri.gbv.de/terminology/bk/17.20>	Soziolinguistik: Allgemeines
<http://uri.gbv.de/terminology/bk/17.22>	Sprachlenkung. Sprachpolitik
<http://uri.gbv.de/terminology/bk/17.23>	Mehrsprachigkeit
<http://uri.gbv.de/terminology/bk/17.24>	Gruppensprachen. Fachsprachen. Sondersprachen
<http://uri.gbv.de/terminology/bk/17.25>	Soziolinguistik: Sonstiges
<http://uri.gbv.de/terminology/bk/17.28>	Ethnolinguistik
<http://uri.gbv.de/terminology/bk/17.30>	Psycholinguistik: Allgemeines
<http://uri.gbv.de/terminology/bk/17.31>	Spracherwerb
<http://uri.gbv.de/terminology/bk/17.34>	Psycholinguistik: Sonstiges
<http://uri.gbv.de/terminology/bk/17.35>	Neurolinguistik
<http://uri.gbv.de/terminology/bk/17.40>	Angewandte Sprachwissenschaft: Allgemeines
<http://uri.gbv.de/terminology/bk/17.41>	Sprachdidaktik
<http://uri.gbv.de/terminology/bk/17.42>	Sprachbeherrschung
<http://uri.gbv.de/terminology/bk/17.43>	Zweitsprachenerwerb
<http://uri.gbv.de/terminology/bk/17.45>	Übersetzungswissenschaft
<http://uri.gbv.de/terminology/bk/17.46>	Mathematische Linguistik
<http://uri.gbv.de/terminology/bk/17.49>	Angewandte Sprachwissenschaft: Sonstiges
<http://uri.gbv.de/terminology/bk/17.50>	Allgemeine Grammatik
<http://uri.gbv.de/terminology/bk/17.51>	Einzelne Theorien der Grammatik
<http://uri.gbv.de/terminology/bk/17.52>	Syntax
<http://uri.gbv.de/terminology/bk/17.53>	Phonetik. Phonologie
<http://uri.gbv.de/terminology/bk/17.54>	Orthographie
<http://uri.gbv.de/terminology/bk/17.55>	Morphologie. Wortbildung
<http://uri.gbv.de/terminology/bk/17.56>	Semantik
<http://uri.gbv.de/terminology/bk/17.57>	Namenkunde
<http://uri.gbv.de/terminology/bk/17.59>	Lexikologie
<http://uri.gbv.de/terminology/bk/17.60>	Lexikographie
<http://uri.gbv.de/terminology/bk/17.61>	Pragmatik. Sprechakttheorie
<http://uri.gbv.de/terminology/bk/17.62>	Rhetorik. Stilistik
<http://uri.gbv.de/terminology/bk/17.63>	Textlinguistik
<http://uri.gbv.de/terminology/bk/17.69>	Sprachwissenschaft: Sonstiges
<http://uri.gbv.de/terminology/bk/17.70>	Literaturwissenschaft: Allgemeines
<http://uri.gbv.de/terminology/bk/17.71>	Literaturgeschichte
<http://uri.gbv.de/terminology/bk/17.73>	Literaturtheorie: Allgemeines
<http://uri.gbv.de/terminology/bk/17.74>	Literaturwissenschaftliche Richtungen
<http://uri.gbv.de/terminology/bk/17.75>	Literaturkritik
<http://uri.gbv.de/terminology/bk/17.77>	Stilistik. Rhetorik
<http://uri.gbv.de/terminology/bk/17.78>	Textkritik
<http://uri.gbv.de/terminology/bk/17.80>	Literarische Gattungen: Allgemeines
<http://uri.gbv.de/terminology/bk/17.81>	Epik. Prosa
<http://uri.gbv.de/terminology/bk/17.82>	Dramatik
<http://uri.gbv.de/terminology/bk/17.83>	Lyrik
<http://uri.gbv.de/terminology/bk/17.84>	Sonstige literarische Gattungen
<http://uri.gbv.de/terminology/bk/17.87>	Besondere Literaturkategorien
<http://uri.gbv.de/terminology/bk/17.89>	Literaturtheorie: Sonstiges
<http://uri.gbv.de/terminology/bk/17.90>	Literatur in Beziehung zu anderen Bereichen von Wissenschaft und Kultur
<http://uri.gbv.de/terminology/bk/17.91>	Literatursoziologie
<http://uri.gbv.de/terminology/bk/17.92>	Vergleichende Literaturwissenschaft: Allgemeines
<http://uri.gbv.de/terminology/bk/17.93>	Literarische Stoffe. literarische Motive. literarische Themen
<http://uri.gbv.de/terminology/bk/17.94>	Literarische Einflüsse und Beziehungen. Rezeption
<http://uri.gbv.de/terminology/bk/17.95>	Literarische Übersetzung
<http://uri.gbv.de/terminology/bk/17.96>	Vergleichende Literaturwissenschaft: Sonstiges
<http://uri.gbv.de/terminology/bk/17.97>	Texte eines einzelnen Autors
<http://uri.gbv.de/terminology/bk/17.98>	Textsammlungen
<http://uri.gbv.de/terminology/bk/17.99>	Literaturwissenschaft: Sonstiges
<http://uri.gbv.de/terminology/bk/18>	Einzelne Sprachen und Literaturen
<http://uri.gbv.de/terminology/bk/18.00>	Einzelne Sprachen und Literaturen allgemein
<http://uri.gbv.de/terminology/bk/18.01>	Indogermanische Sprachen und Literaturen: Allgemeines
<http://uri.gbv.de/terminology/bk/18.02>	Germanische Sprachen und Literaturen: Allgemeines
<http://uri.gbv.de/terminology/bk/18.03>	Englische Sprache und Literatur
<http://uri.gbv.de/terminology/bk/18.04>	Englische Sprache
<http://uri.gbv.de/terminology/bk/18.05>	Englische Literatur
<http://uri.gbv.de/terminology/bk/18.06>	Angloamerikanische Literatur
<http://uri.gbv.de/terminology/bk/18.07>	Englische Literatur außerhalb Großbritanniens und der USA
<http://uri.gbv.de/terminology/bk/18.08>	Deutsche Sprache und Literatur
<http://uri.gbv.de/terminology/bk/18.09>	Deutsche Sprache
